component,variant,state,time_ms,pixdiff,max_err,mse
animtimeline,default,default,0,0,0,0
animtimeline,default,default,33,0,0,0
animtimeline,default,default,100,0,0,0
animtimeline,default,default,250,0,0,0
animtimeline,default,default,500,0,0,0
animtimeline,default,default,1000,0,0,0
button_press,default,default,0,0,0,0
button_press,default,default,100,0,0,0
button_press,default,default,250,0,0,0
button_press,default,default,500,0,0,0
button_press,default,default,1000,0,0,0
collection_grid_scroll,default,default,0,0,0,0
collection_grid_scroll,default,default,33,0,0,0
collection_grid_scroll,default,default,100,0,0,0
collection_grid_scroll,default,default,250,0,0,0
collection_grid_scroll,default,default,500,0,0,0
collection_grid_scroll,default,default,1000,0,0,0
collection_row_scroll,default,default,0,0,0,0
collection_row_scroll,default,default,33,0,0,0
collection_row_scroll,default,default,100,0,0,0
collection_row_scroll,default,default,250,0,0,0
collection_row_scroll,default,default,500,0,0,0
collection_row_scroll,default,default,1000,0,0,0
progressbar,determinate,indeterminate,0,0,0,0
progressbar,determinate,indeterminate,33,0,0,0
progressbar,determinate,indeterminate,100,0,0,0
progressbar,determinate,indeterminate,250,0,0,0
progressbar,determinate,indeterminate,500,0,0,0
progressbar,determinate,indeterminate,1000,0,0,0
slider_move,default,default,0,0,0,0
slider_move,default,default,33,0,0,0
slider_move,default,default,100,0,0,0
slider_move,default,default,250,0,0,0
slider_move,default,default,500,0,0,0
slider_move,default,default,1000,0,0,0
spinner,default,default,0,0,0,0
spinner,default,default,33,0,0,0
spinner,default,default,100,0,0,0
spinner,default,default,250,0,0,0
spinner,default,default,500,0,0,0
spinner,default,default,1000,0,0,0
toggle_anim,default,to_on,0,0,0,0
toggle_anim,default,to_on,33,0,0,0
toggle_anim,default,to_on,100,0,0,0
toggle_anim,default,to_on,250,0,0,0
toggle_anim,default,to_on,500,0,0,0
toggle_anim,default,to_on,1000,0,0,0
