use,prefilter,n_fps,avg_fps,n_ms,p95_ms
0.800000,0.150000,0,NaN,1,0.060000
0.600000,0.250000,0,NaN,1,0.060000
0.600000,0.330000,0,NaN,1,0.060000
0.750000,0.330000,0,NaN,1,0.060000
0.600000,0.150000,0,NaN,1,0.060000
0.900000,0.250000,0,NaN,1,0.070000
0.800000,0.250000,0,NaN,1,0.070000
0.900000,0.150000,0,NaN,1,0.460000
0.800000,0.330000,0,NaN,1,0.530000
0.700000,0.150000,0,NaN,1,0.560000
0.700000,0.250000,0,NaN,1,0.560000
0.900000,0.330000,0,NaN,1,0.570000
0.750000,0.250000,0,NaN,1,0.640000
0.750000,0.150000,0,NaN,1,0.660000
0.700000,0.330000,0,NaN,1,1.010000
